MCC,Название,Группа,Обновлено
0742,Ветеринарные услуги,Контрактные услуги,31.01.18
0763,Сельскохозяйственные кооперативы,Контрактные услуги,31.01.18
0780,Услуги садоводства и ландшафтного дизайна,Контрактные услуги,31.01.18
1520,Генеральные подрядчики – жилое и коммерческое строительство,Контрактные услуги,31.01.18
1711,"Генеральные подрядчики по вентиляции, теплоснабжению и водопроводу",Контрактные услуги,31.01.18
1731,Подрядчики по электричеству,Контрактные услуги,31.01.18
1740,"Изоляция, мозаика, штукатурные работы, каменная кладка, облицовка плиткой, кафелем",Контрактные услуги,31.01.18
1750,Столярные работы,Контрактные услуги,31.01.18
1761,"Кровельные и сайдинговые работы, обработка листового металла",Контрактные услуги,31.01.18
1771,Подрядчики бетонных работ,Контрактные услуги,31.01.18
1799,Контрактные услуги – нигде более не классифицированные,Контрактные услуги,31.01.18
2741,Различные издательства/ печатное дело,Оптовые поставщики и производители,01.01.18
2791,"Набор текстов, шрифтов, таблиц и относящиеся к этому услуги",Оптовые поставщики и производители,01.01.18
2842,"Специальная обработка, полировка, санитария",Оптовые поставщики и производители,17.04.17
3000,United Airlines (UNITED),"Авиалинии, авиакомпании",18.04.17
3001,American Airlines (AMERICAN),"Авиалинии, авиакомпании",17.04.17
3002,Pan American (PAN AM),"Авиалинии, авиакомпании",18.04.17
3003,Eurofly (EUROFLY),"Авиалинии, авиакомпании",17.04.17
3004,Dragonair (DRAGONAIR),"Авиалинии, авиакомпании",17.04.17
3005,British Airways (BRITISH A),"Авиалинии, авиакомпании",18.04.17
3006,Japan Air Lines (JAL),"Авиалинии, авиакомпании",18.04.17
3007,Air France (AIR FRAN),"Авиалинии, авиакомпании",18.04.17
3008,Lufthansa (LUFTHAN),"Авиалинии, авиакомпании",17.04.17
3009,Air Canada (AIR CAN),"Авиалинии, авиакомпании",18.04.17
3010,Royal Dutch Airlines (KLM),"Авиалинии, авиакомпании",18.04.17
3011,Aeroflot (AEROFLOT),"Авиалинии, авиакомпании",18.04.17
3012,Qantas (QANTAS),"Авиалинии, авиакомпании",18.04.17
3013,Alitalia (ALITALIA),"Авиалинии, авиакомпании",17.04.17
3014,Saudi Arabian Airlines (SAUDI AI),"Авиалинии, авиакомпании",18.04.17
3015,Swiss International Air Lines (SWISS),"Авиалинии, авиакомпании",18.04.17
3016,Scandinavian Airline System (SAS),"Авиалинии, авиакомпании",17.04.17
3017,South African Airways (SAFRICAN),"Авиалинии, авиакомпании",18.04.17
3018,Varig (Brazil) (VARIG),"Авиалинии, авиакомпании",18.04.17
3019,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3020,Air India (AIR-INDI),"Авиалинии, авиакомпании",18.04.17
3021,Air Algerie (AIRALGER),"Авиалинии, авиакомпании",18.04.17
3022,Philippine Airlines (PAL AIR),"Авиалинии, авиакомпании",18.04.17
3023,Mexicana (MEXICANA),"Авиалинии, авиакомпании",17.04.17
3024,Pakistan International (PAKISTAN),"Авиалинии, авиакомпании",18.04.17
3025,Air New Zealand Limited International (AIR NZ),"Авиалинии, авиакомпании",18.04.17
3026,Emirates Airlines (EMIRATES),"Авиалинии, авиакомпании",18.04.17
3027,Union de Transports Aeriens (UTAAIR),"Авиалинии, авиакомпании",18.04.17
3028,Air Malta (AIRMALTA),"Авиалинии, авиакомпании",18.04.17
3029,SN Brussels Airlines (SNBRU AIR),"Авиалинии, авиакомпании",17.04.17
3030,Aerolineas Argentinas (AERO ARG),"Авиалинии, авиакомпании",17.04.17
3031,Olympic Airways (OLYMPICA),"Авиалинии, авиакомпании",17.04.17
3032,El Al (EL AL),"Авиалинии, авиакомпании",18.04.17
3033,Ansett Airlines (ANSETT),"Авиалинии, авиакомпании",17.04.17
