Home,Price,SqFt,Bedrooms,Bathrooms,Offers,Brick,Neighborhood,Date
1,114300.0,1790.0,2.0,2.0,2.0,No,East,2014-11-16
2,114200.0,2030.0,4.0,2.0,3.0,No,East,2014-07-14
3,114800.0,1740.0,3.0,2.0,1.0,No,East,2014-09-22
4,94700.0,1980.0,3.0,2.0,3.0,No,East,2013-07-12
5,119800.0,2130.0,3.0,3.0,3.0,No,East,2013-12-26
6,114600.0,1780.0,3.0,2.0,2.0,No,North,2013-01-10
7,151600.0,1830.0,3.0,3.0,3.0,Yes,West,2013-10-05
8,150700.0,2160.0,4.0,2.0,2.0,No,West,2014-08-23
9,119200.0,2110.0,4.0,2.0,3.0,No,East,2013-03-12
10,104000.0,1730.0,3.0,3.0,3.0,No,East,2014-04-18
11,132500.0,2030.0,3.0,2.0,3.0,Yes,East,2014-08-24
12,123000.0,1870.0,2.0,2.0,2.0,Yes,East,2014-02-01
13,102600.0,1910.0,3.0,2.0,4.0,No,North,2013-11-11
14,126300.0,2150.0,3.0,3.0,5.0,Yes,North,2014-05-02
15,176800.0,2590.0,4.0,3.0,4.0,No,West,2014-07-06
16,145800.0,1780.0,4.0,2.0,1.0,No,West,2013-03-29
17,147100.0,2190.0,3.0,3.0,4.0,Yes,East,2013-06-24
18,83600.0,1990.0,3.0,3.0,4.0,No,North,2014-08-24
19,111400.0,1700.0,2.0,2.0,1.0,Yes,East,2014-11-09
20,167200.0,1920.0,3.0,3.0,2.0,Yes,West,2014-06-22
21,116200.0,1790.0,3.0,2.0,3.0,No,East,2013-03-14
22,113800.0,2000.0,3.0,2.0,4.0,No,North,2013-04-26
23,91700.0,1690.0,3.0,2.0,3.0,No,North,2014-03-08
24,106100.0,1820.0,3.0,2.0,3.0,Yes,North,2014-03-25
25,156400.0,2210.0,4.0,3.0,2.0,Yes,East,2013-04-10
26,149300.0,2290.0,4.0,3.0,3.0,No,North,2013-06-27
27,137000.0,2000.0,4.0,2.0,3.0,No,West,2014-10-22
28,99300.0,1700.0,3.0,2.0,2.0,No,East,2013-05-28
29,69100.0,1600.0,2.0,2.0,3.0,No,North,2014-02-28
30,188000.0,2040.0,4.0,3.0,1.0,Yes,West,2013-10-16
31,182000.0,2250.0,4.0,3.0,3.0,Yes,West,2013-09-23
32,112300.0,1930.0,2.0,2.0,2.0,Yes,North,2014-11-29
33,135000.0,2250.0,3.0,3.0,3.0,Yes,East,2014-10-02
34,139600.0,2280.0,5.0,3.0,4.0,Yes,East,2014-06-29
35,117800.0,2000.0,2.0,2.0,3.0,No,North,2014-06-28
36,117100.0,2080.0,3.0,3.0,3.0,No,North,2013-09-02
37,117500.0,1880.0,2.0,2.0,2.0,No,North,2013-06-01
38,147000.0,2420.0,4.0,3.0,4.0,No,West,2014-11-07
39,131300.0,1720.0,3.0,2.0,1.0,No,West,2014-05-26
40,108200.0,1740.0,3.0,2.0,2.0,No,North,2014-04-05
41,106600.0,1560.0,2.0,2.0,1.0,No,East,2013-07-03
42,133600.0,1840.0,4.0,3.0,2.0,No,West,2013-01-29
43,105600.0,1990.0,2.0,2.0,3.0,No,East,2013-05-09
44,154000.0,1920.0,3.0,2.0,1.0,Yes,East,2013-05-09
45,166500.0,1940.0,3.0,3.0,2.0,Yes,West,2013-02-23
46,103200.0,1810.0,3.0,2.0,3.0,No,East,2014-07-05
47,129800.0,1990.0,2.0,3.0,2.0,No,North,2014-05-04
